pair_contact_index,face_label,ternary_face_class_mod_3
0,1,1
1,3,0
2,2,2
3,1,1
4,0,0
5,11,2
6,10,1
7,8,2
8,4,1
9,5,2
10,5,2
11,8,2
12,4,1
13,5,2
14,5,2
15,5,2
16,9,0
17,11,2
18,2,2
19,3,0
20,2,2
21,1,1
22,10,1
23,9,0
24,8,2
25,8,2
26,8,2
27,10,1
28,4,1
29,5,2
30,3,0
31,3,0
32,6,0
33,10,1
34,8,2
35,8,2
36,7,1
37,8,2
38,1,1
39,3,0
40,8,2
41,5,2
42,5,2
43,7,1
44,3,0
45,4,1
46,6,0
47,11,2
48,7,1
49,9,0
50,8,2
51,9,0
52,3,0
53,1,1
54,1,1
55,2,2
56,5,2
57,6,0
58,6,0
59,6,0
60,6,0
61,5,2
62,5,2
63,4,1
64,10,1
65,11,2
66,10,1
67,6,0
68,3,0
69,11,2
70,0,0
71,0,0
72,7,1
73,6,0
74,1,1
75,1,1
76,11,2
77,1,1
78,1,1
79,2,2
80,1,1
81,1,1
82,0,0
83,0,0
84,2,2
85,3,0
86,4,1
87,4,1
88,6,0
89,9,0
90,5,2
91,5,2
92,8,2
93,9,0
94,10,1
95,8,2
96,9,0
97,7,1
98,7,1
99,6,0
100,10,1
101,8,2
102,7,1
103,7,1
104,8,2
105,4,1
106,3,0
107,7,1
108,8,2
109,8,2
110,4,1
111,4,1
112,4,1
113,4,1
114,7,1
115,7,1
116,11,2
117,11,2
118,11,2
119,11,2
120,11,2
121,8,2
122,10,1
123,10,1
124,7,1
125,9,0
126,8,2
127,11,2
128,4,1
129,1,1
130,3,0
131,9,0
132,6,0
133,3,0
134,6,0
135,9,0
136,6,0
137,6,0
138,3,0
139,6,0
140,7,1
141,8,2
142,7,1
143,5,2
144,11,2
145,10,1
146,10,1
147,10,1
148,10,1
149,9,0
150,3,0
151,3,0
152,3,0
153,8,2
154,8,2
155,9,0
156,6,0
157,6,0
158,10,1
159,10,1
160,10,1
161,10,1
162,6,0
163,5,2
164,3,0
165,3,0
166,1,1
167,1,1
168,4,1
169,5,2
170,4,1
171,3,0
172,11,2
173,11,2
174,11,2
175,2,2
176,2,2
177,2,2
178,10,1
179,10,1
180,11,2
181,9,0
182,9,0
183,7,1
184,2,2
185,3,0
186,11,2
187,11,2
188,11,2
189,10,1
190,10,1
191,5,2
192,3,0
193,10,1
194,10,1
195,11,2
196,5,2
197,5,2
198,5,2
199,6,0
200,6,0
201,6,0
202,5,2
203,4,1
204,6,0
205,2,2
206,2,2
207,0,0
208,11,2
209,5,2
210,4,1
211,2,2
212,0,0
213,1,1
214,1,1
215,11,2
216,9,0
217,10,1
218,10,1
219,8,2
220,6,0
221,6,0
222,7,1
223,2,2
224,11,2
225,11,2
226,0,0
227,0,0
228,11,2
229,1,1
230,0,0
231,1,1
232,0,0
233,0,0
234,10,1
235,6,0
236,2,2
237,0,0
238,11,2
239,0,0
240,2,2
241,7,1
242,6,0
243,7,1
244,4,1
245,4,1
246,5,2
247,2,2
248,3,0
249,3,0
250,4,1
251,4,1
252,5,2
253,5,2
254,6,0
255,6,0
256,7,1
257,0,0
258,1,1
259,11,2
260,11,2
261,10,1
262,10,1
263,5,2
264,0,0
265,9,0
266,9,0
267,11,2
268,0,0
269,1,1
270,4,1
271,7,1
272,3,0
273,1,1
274,0,0
275,1,1
276,7,1
277,7,1
278,7,1
279,6,0
280,5,2
281,5,2
282,5,2
283,6,0
284,4,1
285,5,2
286,4,1
287,3,0
288,3,0
289,2,2
290,11,2
291,8,2
292,7,1
293,2,2
294,0,0
295,7,1
296,7,1
297,0,0
298,2,2
299,8,2
300,11,2
301,10,1
302,0,0
303,9,0
304,8,2
305,7,1
306,3,0
307,3,0
308,6,0
309,8,2
310,8,2
311,1,1
312,1,1
313,0,0
314,11,2
315,11,2
316,8,2
317,8,2
318,8,2
319,2,2
320,2,2
321,3,0
322,3,0
323,8,2
324,3,0
325,4,1
326,4,1
327,3,0
328,4,1
329,4,1
330,4,1
331,5,2
332,6,0
333,8,2
334,11,2
335,0,0
336,1,1
337,11,2
338,10,1
339,10,1
340,11,2
341,4,1
342,5,2
343,5,2
344,4,1
345,6,0
346,6,0
347,9,0
348,10,1
349,7,1
350,6,0
351,2,2
352,2,2
353,1,1
354,11,2
355,11,2
356,1,1
357,3,0
358,3,0
359,4,1
360,7,1
361,7,1
362,1,1
363,8,2
364,7,1
365,6,0
366,7,1
367,8,2
368,8,2
369,8,2
370,8,2
371,8,2
372,4,1
373,5,2
374,4,1
375,4,1
376,6,0
377,0,0
378,1,1
379,1,1
380,3,0
381,10,1
382,9,0
383,9,0
384,7,1
385,6,0
386,9,0
387,5,2
388,5,2
389,7,1
390,7,1
391,7,1
392,10,1
393,10,1
394,9,0
395,5,2
396,5,2
397,5,2
398,5,2
399,5,2
400,4,1
401,0,0
402,6,0
403,5,2
404,4,1
405,3,0
406,11,2
407,9,0
408,6,0
409,4,1
410,3,0
411,4,1
412,8,2
413,8,2
414,11,2
415,0,0
416,10,1
417,10,1
